YR,MO,DY,HR,LAT,LON,IM,ATTC,TI,LI,DS,VS,NID,II,ID,C1,DI,D,WI,W,VI,VV,WW,W1,SLP,A,PPP,IT,AT,WBTI,WBT,DPTI,DPT,SI,SST,N,NH,CL,HI,H,CM,CH,WD,WP,WH,SD,SP,SH,ATTI,ATTL,MDS,C1M,OPM,KOV,COR,TOB,TOT,EOT,LOT,TOH,EOH,SIM,LOV,DOS,HOP,HOT,HOB,HOA,SMF,SME,SMV
1933,10,29,12,-54.17,-36.37,1,1,0,2,NaN,NaN,,7,146549,3,3,0,5,7.45,NaN,NaN,null,,NaN,NaN,NaN,7,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,337.5,NaN,3.5,337.5,NaN,3.5,7,58,0,GS,99,FV,GB,AN,MER,VS,2,P,VS,C,397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,10,30,12,-54.55,-30.55,1,1,0,2,NaN,NaN,,7,146549,3,3,270,5,9.77,NaN,NaN,ICEBERG,,995.6,NaN,NaN,7,0,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,292.5,NaN,3.5,292.5,NaN,3.5,7,58,0,GS,99,FV,GB,AN,MER,VS,2,P,VS,C,397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,10,31,12,-55,-26.12,1,1,0,2,NaN,NaN,,7,146549,3,3,45,5,2.57,NaN,NaN,null,,985.44,NaN,NaN,7,0.56,NaN,NaN,NaN,NaN,9,-1.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,337.5,NaN,2,337.5,NaN,2,7,58,0,GS,99,FV,GB,AN,MER,VS,2,P,VS,C,397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,11,1,12,-55.62,-21.63,1,1,0,2,NaN,NaN,,7,146549,3,3,225,5,0.77,NaN,NaN,PACKICE,,981.37,NaN,NaN,7,0,NaN,NaN,NaN,NaN,9,-1.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,337.5,NaN,1,337.5,NaN,1,7,58,0,GS,99,FV,GB,AN,MER,VS,2,P,VS,C,397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,11,2,12,-56,-19.1,1,1,0,2,NaN,NaN,,7,146549,3,3,315,5,2.57,NaN,NaN,PACKICE,,986.79,NaN,NaN,7,-1.11,NaN,NaN,NaN,NaN,9,-1.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,315,NaN,1,315,NaN,1,7,58,0,GS,99,FV,GB,AN,MER,VS,2,P,VS,C,397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,11,3,12,-56.45,-17.33,1,1,0,2,NaN,NaN,,7,146549,3,3,315,5,0.77,NaN,NaN,PACKICE,,997.63,NaN,NaN,7,0,NaN,NaN,NaN,NaN,9,-1.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,315,NaN,0,315,NaN,1,7,58,0,GS,99,FV,GB,AN,MER,VS,2,P,VS,C,397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,11,4,12,-56.58,-15.08,1,1,0,2,NaN,NaN,,7,146549,3,3,67.5,5,4.37,NaN,NaN,PACKICE,,990.18,NaN,NaN,7,0,NaN,NaN,NaN,NaN,9,-1.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.5,NaN,1,0,NaN,0.5,7,58,0,GS,99,FV,GB,AN,MER,VS,2,P,VS,C,397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,11,5,12,-56.48,-14.07,1,1,0,2,NaN,NaN,,7,146549,3,3,315,5,4.37,NaN,NaN,PACKICE,,971.21,NaN,NaN,7,0,NaN,NaN,NaN,NaN,9,-1.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,315,NaN,1,0,NaN,1,7,58,0,GS,99,FV,GB,AN,MER,VS,2,P,VS,C,397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,11,6,12,-56.62,-11.1,1,1,0,2,NaN,NaN,,7,146549,3,3,0,5,4.37,NaN,NaN,PACKICE,,981.71,NaN,NaN,7,2.22,NaN,NaN,NaN,NaN,9,-1.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0.5,337.5,NaN,2,7,58,0,GS,99,FV,GB,AN,MER,VS,2,P,VS,C,397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,11,7,12,-56.23,-9.47,1,1,0,2,NaN,NaN,,7,146549,3,3,315,5,7.45,NaN,NaN,PACKICE,,975.95,NaN,NaN,7,-0.56,NaN,NaN,NaN,NaN,9,-1.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,315,NaN,2,315,NaN,2,7,58,0,GS,99,FV,GB,AN,MER,VS,2,P,VS,C,397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
