Ship,date,Latitude,Longitude,Temp (air),Temp (sea),mBar,Weather,Wind,Strength (Wind),Sea (Waves),Ice,Blue Whales,Finn Whales,Humpback Whale,Sperm Whales,Sei Whale,,,,,,,
Solglimt,10/23/1932,-54.100,5.100,,,979,l,N,3,3,,10,0,0,,,,,,,,,
Solglimt,10/24/1932,-53.583,4.800,,,986,d,NW,4,3,,4,0,0,,,,,,,,,
Solglimt,10/25/1932,-53.300,4.000,,,993,d,NW,4,4,,2,0,0,,,,,,,,,
Solglimt,10/26/1932,-53.617,3.600,,,994,c,WSW,3,3,,4,0,0,,,,,,,,,
Solglimt,10/27/1932,-53.400,3.333,,,1018,d,WNW,2,2,,6,0,0,,,,,,,,,
Solglimt,10/28/1932,-53.650,3.233,,,987,d,WNW,3,3,,8,0,0,,,,,,,,,
Solglimt,10/29/1932,-53.733,2.250,,,1002,e,NNW,3,2,,7,0,0,,,,,,,,,
Solglimt,10/30/1932,-53.617,1.800,,,1013,e,E,1,3,,3,1,0,,,,,,,,,
Solglimt,10/31/1932,-53.550,1.950,,,995,i,N,3,2,,10,0,0,,,,,,,,,
Solglimt,11/1/1932,-53.650,1.433,,,974,i,NNW,3,3,,5,0,0,,,,,,,,,
Solglimt,11/2/1932,-53.883,0.683,,,990,g,SW,4,4,,6,0,0,,,,,,,,,
Solglimt,11/3/1932,-54.150,0.350,,,997,e,S,3,3,,11,0,0,,,,,,,,,
Solglimt,11/4/1932,-54.233,0.200,,,986,d,SSE,2,1,,9,0,0,,,,,,,,,
Solglimt,11/5/1932,-54.217,0.033,,,991,e,NNW,3,3,,5,1,0,,,,,,,,,
Solglimt,11/6/1932,-54.517,0.633,,,985,i,N,5,3,,3,0,0,,,,,,,,,
Solglimt,11/7/1932,-54.133,1.433,,,999,c,W,2,4,,7,0,0,,,,,,,,,
Solglimt,11/8/1932,-54.017,1.867,,,1004,d,N,2,3,,9,0,0,,,,,,,,,
Solglimt,11/9/1932,-54.350,2.700,,,972,h,NW,5,4,,6,0,0,,,,,,,,,
Solglimt,11/10/1932,-54.350,3.750,,,991,il,N,3,3,,1,0,0,,,,,,,,,
Solglimt,11/11/1932,-54.233,4.817,,,962,d,W,5,4,,5,0,0,,,,,,,,,
Solglimt,11/12/1932,-54.783,5.450,,,984,d,SE,2,4,,9,0,0,,,,,,,,,
Solglimt,11/13/1932,-54.617,5.083,,,998.5,l,N,2,3,,10,0,0,,,,,,,,,
Solglimt,11/14/1932,-54.883,5.117,,,982,d,W,2,2,,6,0,0,,,,,,,,,
Solglimt,11/15/1932,-55.167,5.817,,,975,d,W,3,3,,2,0,0,,,,,,,,,
Solglimt,11/16/1932,-55.033,5.917,,,989,d,SSW,2,2,,12,0,0,,,,,,,,,
Solglimt,11/17/1932,-54.917,5.900,,,1004,c,SW,2,2,,12,0,0,,,,,,,,,
Solglimt,11/18/1932,-55.150,6.067,,,988,l,NNE,4,2,,10,0,0,,,,,,,,,
Solglimt,11/19/1932,-55.283,6.017,,,981,d,WNW,3,3,,4,0,0,,,,,,,,,
Solglimt,11/20/1932,-55.200,6.600,,,989,d,WNW,3,3,,8,0,0,,,,,,,,,
Solglimt,11/21/1932,-55.517,7.150,,,971,l,N,3,2,,5,0,0,,,,,,,,,
Solglimt,11/22/1932,-55.450,7.400,,,975,d,SW,3,3,,7,0,0,,,,,,,,,
Solglimt,11/23/1932,-55.317,8.883,,,986,lg,W,3,2,,11,0,0,,,,,,,,,
Solglimt,11/24/1932,-54.750,9.467,,,990,d,SSW,2,3,,4,0,0,,,,,,,,,
Solglimt,11/25/1932,-54.783,10.000,,,995,d,NW,2,2,,9,0,0,,,,,,,,,
Solglimt,11/26/1932,-55.033,10.483,,,978,i,NNW,2,3,,5,0,0,,,,,,,,,
Solglimt,11/27/1932,-55.217,10.850,,,975,i,WNW,3,3,,6,0,0,,,,,,,,,
Solglimt,11/28/1932,-55.417,10.650,,,970,i,WNW,1,4,,11,0,0,,,,,,,,,
Solglimt,11/29/1932,-55.050,11.267,,,971,h,WNW,1,3,,10,0,0,,,,,,,,,
Solglimt,11/30/1932,-54.950,11.417,,,974,c,SW,2,3,,7,0,0,,,,,,,,,
Solglimt,12/1/1932,-55.033,12.317,,,977.5,c,WSW,3,3,,10,0,0,,,,,,,,,
Solglimt,12/2/1932,-55.200,12.650,,,977,c,SW,3,3,,9,0,0,,,,,,,,,
Solglimt,12/3/1932,-55.517,12.900,,,970,l,NE,3,3,,9,0,0,,,,,,,,,
Solglimt,12/4/1932,-55.667,13.433,,,963,l,WSW,3,3,,7,0,0,,,,,,,,,
Solglimt,12/5/1932,-55.733,13.967,,,958,d,WSW,4,3,,8,0,0,,,,,,,,,
Solglimt,12/6/1932,-55.483,14.850,,,957,d,W,3,3,,9,0,0,,,,,,,,,
Solglimt,12/7/1932,-55.183,15.150,,,972,lg,WNW,3,3,,9,0,0,,,,,,,,,
Solglimt,12/8/1932,-55.200,15.467,,,979,lg,W,3,2,,9,0,0,,,,,,,,,
Solglimt,12/9/1932,-55.233,15.217,,,988,d,WSW,2,1,,8,0,0,,,,,,,,,
Solglimt,12/10/1932,-55.267,15.567,,,992,b,W,1,2,,7,0,0,,,,,,,,,
Solglimt,12/11/1932,-55.217,15.800,,,992,h,NW,2,2,,10,0,0,,,,,,,,,
Solglimt,12/12/1932,-55.517,15.500,,,968,i,NE,2,3,,9,0,0,,,,,,,,,
Solglimt,12/13/1932,-55.533,16.183,,,972,d,W,3,4,,8,0,0,,,,,,,,,
Solglimt,12/14/1932,-55.317,16.433,,,977,d,W,3,2,,8,0,0,,,,,,,,,
Solglimt,12/15/1932,-55.283,17.000,,,984,d,WNW,2,2,,9,0,0,,,,,,,,,
Solglimt,12/16/1932,-55.217,17.217,,,990,b,S,1,2,,8,0,0,,,,,,,,,
Solglimt,12/17/1932,-55.117,17.083,,,999,d,W,1,2,,10,0,0,,,,,,,,,
Solglimt,12/18/1932,-55.017,17.300,,,1005,c,W,2,2,,11,0,0,,,,,,,,,
Solglimt,12/19/1932,-55.000,17.500,,,1010.5,d,W,2,2,,6,0,0,,,,,,,,,
Solglimt,12/20/1932,-55.233,17.550,,,1006,i,W,2,2,,10,0,0,,,,,,,,,
Solglimt,12/21/1932,-55.200,17.800,,,990,i,ENE,1,2,,9,0,0,,,,,,,,,
Solglimt,12/22/1932,-55.817,16.900,,,963,h,NW,3,3,,5,0,0,,,,,,,,,
Solglimt,12/23/1932,-56.883,16.317,,,956,lg,NW,4,4,,4,0,0,,,,,,,,,
Solglimt,12/24/1932,-57.750,17.817,,,969,d,W,3,3,,1,0,0,,,,,,,,,
Solglimt,12/25/1932,-57.833,17.717,,,970,lg,ESE,1,3,,0,0,0,,,,,,,,,
Solglimt,12/26/1932,-57.500,17.933,,,983,lg,SSW,3,3,,7,0,0,,,,,,,,,
Solglimt,12/27/1932,-58.367,18.033,,,995,b,WSW,3,3,,1,0,0,,,,,,,,,
Solglimt,12/28/1932,-58.667,14.933,,,986,i,WNW,3,3,,2,0,0,,,,,,,,,
Solglimt,12/29/1932,-58.617,12.917,,,993,h,WNW,3,3,,0,0,0,,,,,,,,,
Solglimt,12/30/1932,-58.350,12.950,,,974,l,NNE,3,2,,3,0,0,,,,,,,,,
Solglimt,12/31/1932,-57.367,12.850,,,1001,d,SW,3,3,,9,0,0,,,,,,,,,
